VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2016-12-19 20:13:04,2016-12-19 20:16:58,1,.87,1,N,238,142,1,5,0.5,0.5,1.5,0,0.3,7.8
1,2016-12-27 19:28:48,2016-12-27 19:30:31,1,.10,1,N,231,144,2,3,1,0.5,0,0,0.3,4.8
1,2016-12-17 00:57:37,2016-12-17 01:10:37,3,2.30,1,N,90,233,1,11,0.5,0.5,2.45,0,0.3,14.75
1,2016-12-01 20:32:54,2016-12-01 20:52:17,1,5.00,1,N,13,143,1,18.5,0.5,0.5,3.95,0,0.3,23.75
2,2016-12-12 19:25:14,2016-12-12 19:34:15,2,1.43,1,N,164,79,1,7.5,1,0.5,1,0,0.3,10.3
2,2016-12-14 20:16:30,2016-12-14 20:27:05,4,.94,1,N,162,230,2,8,0.5,0.5,0,0,0.3,9.3
2,2016-12-22 10:12:29,2016-12-22 10:21:08,1,1.01,1,N,262,263,1,7,0,0.5,1.95,0,0.3,9.75
2,2016-12-30 19:11:29,2016-12-30 19:20:03,2,.98,1,N,161,186,1,7,1,0.5,2.2,0,0.3,11
2,2016-12-07 09:22:07,2016-12-07 09:39:30,1,1.05,1,N,141,162,1,11,0,0.5,2.36,0,0.3,14.16
2,2016-12-24 00:52:33,2016-12-24 01:05:45,1,2.69,1,N,144,186,2,11.5,0.5,0.5,0,0,0.3,12.8
1,2016-12-18 03:08:16,2016-12-18 03:18:47,2,1.60,1,N,114,87,1,8.5,0.5,0.5,1.95,0,0.3,11.75
1,2016-12-22 07:39:45,2016-12-22 07:44:10,1,1.00,1,Y,125,158,2,5.5,0,0.5,0,0,0.3,6.3
2,2016-12-26 06:42:20,2016-12-26 06:48:11,1,1.61,1,N,262,238,2,7,0,0.5,0,0,0.3,7.8
1,2016-12-23 12:01:12,2016-12-23 12:13:52,1,.90,1,N,163,48,2,9,0,0.5,0,0,0.3,9.8
2,2016-12-23 11:13:39,2016-12-23 11:29:36,2,1.47,1,N,141,161,1,11,0,0.5,2.36,0,0.3,14.16
1,2016-12-18 17:51:19,2016-12-18 17:58:44,1,.50,1,N,162,161,2,6,0,0.5,0,0,0.3,6.8
1,2016-12-04 17:23:00,2016-12-04 18:24:15,1,18.60,2,N,113,132,1,52,0,0.5,10.56,0,0.3,63.36
2,2016-12-13 12:14:49,2016-12-13 12:34:30,1,1.07,1,N,90,234,1,12.5,0,0.5,0.5,0,0.3,13.8
2,2016-12-23 02:09:27,2016-12-23 02:15:34,1,1.24,1,N,234,68,1,6.5,0.5,0.5,1.56,0,0.3,9.36
2,2016-12-26 20:43:38,2016-12-26 21:00:08,1,1.73,1,N,186,161,2,11.5,0.5,0.5,0,0,0.3,12.8
