VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2016-12-15 12:18:37,2016-12-15 12:28:45,6,.50,1,N,141,237,2,7.5,0,0.5,0,0,0.3,8.3
1,2016-12-20 22:39:23,2016-12-20 22:50:27,1,2.00,1,N,246,164,1,9.5,0.5,0.5,3,0,0.3,13.8
1,2016-12-09 23:02:06,2016-12-09 23:11:03,1,1.10,1,N,114,79,1,7.5,0.5,0.5,1.75,0,0.3,10.55
1,2016-12-11 15:40:19,2016-12-11 16:09:53,1,11.90,1,N,138,224,1,34,0,0.5,8.05,5.54,0.3,48.39
2,2016-12-19 11:34:28,2016-12-19 11:47:51,1,1.96,1,N,261,144,2,10.5,0,0.5,0,0,0.3,11.3
2,2016-12-29 14:12:30,2016-12-29 14:22:57,5,1.81,1,N,237,143,2,9,0,0.5,0,0,0.3,9.8
1,2016-12-19 19:30:59,2016-12-19 19:38:48,1,1.50,1,N,237,239,1,7.5,1,0.5,1.85,0,0.3,11.15
2,2016-12-28 14:39:49,2016-12-28 14:50:42,2,1.47,1,N,43,237,2,9,0,0.5,0,0,0.3,9.8
2,2016-12-31 20:15:07,2016-12-31 20:19:10,1,.62,1,N,263,140,2,4.5,0.5,0.5,0,0,0.3,5.8
2,2016-12-04 21:42:44,2016-12-04 21:49:46,1,1.06,1,N,68,90,2,6.5,0.5,0.5,0,0,0.3,7.8
1,2016-12-22 12:28:58,2016-12-22 12:34:38,1,1.20,1,N,238,236,2,6.5,0,0.5,0,0,0.3,7.3
2,2016-12-01 02:05:10,2016-12-01 02:37:36,1,11.98,1,N,24,181,1,36.5,0.5,0.5,11.34,0,0.3,49.14
2,2016-12-07 15:31:55,2016-12-07 16:23:04,1,3.64,1,N,170,237,1,29.5,0,0.5,1,0,0.3,31.3
2,2016-12-17 10:42:28,2016-12-17 11:00:32,1,5.29,1,N,140,211,1,18.5,0,0.5,2,0,0.3,21.3
2,2016-12-11 11:44:18,2016-12-11 11:51:40,1,.57,1,N,237,237,1,6.5,0,0.5,1.46,0,0.3,8.76
1,2016-12-01 17:12:46,2016-12-01 17:49:16,1,9.70,1,N,141,138,2,34,1,0.5,0,5.54,0.3,41.34
1,2016-12-21 14:04:49,2016-12-21 14:09:13,1,.40,1,N,140,237,1,4.5,0,0.5,1.05,0,0.3,6.35
1,2016-12-07 17:22:12,2016-12-07 17:39:59,1,1.70,1,N,161,142,1,12.5,1,0.5,3.55,0,0.3,17.85
2,2016-12-09 22:49:05,2016-12-09 23:15:47,1,2.85,1,N,161,229,2,17.5,0.5,0.5,0,0,0.3,18.8
2,2016-12-11 16:56:37,2016-12-11 17:04:48,1,1.66,1,N,237,236,2,7.5,0,0.5,0,0,0.3,8.3
1,2016-12-31 17:09:39,2016-12-31 17:23:26,1,2.40,1,N,246,144,1,11.5,0,0.5,2.45,0,0.3,14.75
1,2016-12-29 10:53:43,2016-12-29 11:08:08,1,3.20,1,N,262,161,2,13.5,0,0.5,0,0,0.3,14.3
1,2016-12-22 06:49:44,2016-12-22 06:52:55,1,.80,1,N,249,186,1,5,0,0.5,1.15,0,0.3,6.95
1,2016-12-21 04:50:45,2016-12-21 04:52:14,1,.70,1,N,233,162,2,4,0.5,0.5,0,0,0.3,5.3
2,2016-12-16 14:29:19,2016-12-16 15:57:09,2,11.15,1,N,142,138,1,56,0,0.5,18.7,5.54,0.3,81.04
2,2016-12-11 19:37:30,2016-12-11 19:56:13,1,2.31,1,N,162,234,2,13,0,0.5,0,0,0.3,13.8
1,2016-12-27 14:54:40,2016-12-27 15:01:17,1,.60,1,N,170,161,1,6,0,0.5,0,0,0.3,6.8
2,2016-12-15 13:29:03,2016-12-15 13:52:23,1,4.03,1,N,236,50,2,17,0,0.5,0,0,0.3,17.8
2,2016-12-05 21:21:17,2016-12-05 21:48:36,5,16.36,1,N,132,256,2,45,0.5,0.5,0,0,0.3,46.3
2,2016-12-11 13:10:18,2016-12-11 13:15:29,3,1.37,1,N,231,249,1,6.5,0,0.5,1.3,0,0.3,8.6
2,2016-12-23 10:53:09,2016-12-23 11:04:36,5,1.94,1,N,45,79,2,7.5,0,0.5,0,0,0.3,8.3
1,2016-12-05 19:27:57,2016-12-05 19:37:50,1,1.80,1,N,239,236,1,9,1,0.5,2.2,0,0.3,13
1,2016-12-27 19:15:05,2016-12-27 19:22:42,2,1.60,1,N,142,236,2,8,1,0.5,0,0,0.3,9.8
2,2016-12-23 15:35:25,2016-12-23 16:02:33,1,3.63,1,N,163,237,1,19.5,0,0.5,4.06,0,0.3,24.36
2,2016-12-26 21:31:55,2016-12-26 21:57:04,1,4.40,1,N,186,41,1,19.5,0.5,0.5,4.16,0,0.3,24.96
2,2016-12-13 20:14:25,2016-12-13 20:31:53,5,7.62,1,N,138,145,1,22.5,0.5,0.5,4.76,0,0.3,28.56
1,2016-12-12 02:06:28,2016-12-12 02:42:19,4,8.80,1,N,68,82,1,30.5,0.5,0.5,5,0,0.3,36.8
2,2016-12-13 17:15:02,2016-12-13 17:37:11,2,3.92,1,N,68,261,1,17,1,0.5,3.76,0,0.3,22.56
2,2016-12-06 13:59:36,2016-12-06 14:12:10,1,.82,1,N,263,262,1,9,0,0.5,1.96,0,0.3,11.76
1,2016-12-02 22:28:11,2016-12-02 22:59:39,2,6.30,1,N,144,238,1,25.5,0.5,0.5,5.35,0,0.3,32.15
1,2016-12-07 11:33:11,2016-12-07 11:52:53,1,1.80,1,N,114,87,1,13,0,0.5,3.45,0,0.3,17.25
1,2016-12-22 17:15:53,2016-12-22 17:36:54,2,1.20,1,N,43,161,1,13.5,1,0.5,3.05,0,0.3,18.35
2,2016-12-02 13:52:24,2016-12-02 14:07:35,1,3.99,1,N,261,33,2,15,0,0.5,0,0,0.3,15.8
2,2016-12-22 22:02:47,2016-12-22 22:04:24,1,.05,1,N,48,48,1,3,0.5,0.5,1,0,0.3,5.3
2,2016-12-22 23:32:41,2016-12-22 23:43:25,1,2.03,1,N,161,224,1,9,0.5,0.5,2.06,0,0.3,12.36
1,2016-12-04 11:07:44,2016-12-04 11:12:28,1,.60,1,N,236,262,1,5,0,0.5,1,0,0.3,6.8
2,2016-12-28 16:36:47,2016-12-28 16:43:53,2,.94,1,N,79,4,2,6.5,1,0.5,0,0,0.3,8.3
1,2016-12-11 21:43:11,2016-12-11 21:46:29,1,.50,1,N,113,79,1,4.5,0.5,0.5,1.15,0,0.3,6.95
2,2016-12-10 23:10:49,2016-12-10 23:47:36,1,3.98,1,N,211,140,1,23,0.5,0.5,3,0,0.3,27.3
1,2016-12-07 10:16:06,2016-12-07 10:21:03,1,.70,1,N,137,107,1,5,0,0.5,1.15,0,0.3,6.95
2,2016-12-22 10:26:55,2016-12-22 10:34:27,1,1.50,1,N,137,148,1,7.5,0,0.5,1.66,0,0.3,9.96
2,2016-12-23 00:32:31,2016-12-23 00:41:06,6,1.46,1,N,249,107,1,8,0.5,0.5,2.79,0,0.3,12.09
2,2016-12-19 14:26:29,2016-12-19 14:30:45,1,.62,1,N,137,170,1,5,0,0.5,1.16,0,0.3,6.96
2,2016-12-08 21:53:15,2016-12-08 22:02:16,3,2.58,1,N,13,158,1,10.5,0.5,0.5,3.54,0,0.3,15.34
